id,amount,sku_num,user_id,order_info_id,product_category_id,product_sku_id,shop_id,create_time,update_time
1,18.6,3,e7e4542c-a56a-4767-9964-e057d92fb26e,1,786e28fa-099c-4d02-b1c7-e4096ab0d1cc,427,81f6187c-a7c3-43f1-8bd3-24333591244a,2023-09-05,2023-09-05
2,17.92,4,1028d6c4-f3ba-4cfa-ad6c-e9f5a6448412,2,858ff9b6-314d-44b2-8074-eb31e7ebcb12,351,708769dd-5fd6-4be1-a477-5f02d5d871fc,2023-10-20,2023-10-20
3,16.37,9,51042fcb-0534-4c41-9224-d6616e4753b5,3,a022059b-696e-4e26-9c6e-26bfff5e1f89,39,d1ed325a-26f5-4e66-b85c-a5b486463562,2023-02-17,2023-02-17
4,21.22,3,0bf45ede-c9c9-4383-972b-18f76fbec169,4,89a33d25-49bb-47e3-88c0-409b4d0843e7,489,5a9a48a8-ba43-41c8-9f43-648ac4ebdf7e,2023-07-03,2023-07-03
5,16.42,1,d21d7ba9-fc9f-4fbc-9dcb-ca88a298a579,5,5537359e-d90c-4d41-8096-e8f4458906a7,187,6d1a0837-c413-4226-9116-2f3deebc3a5f,2023-06-03,2023-06-03
6,13.47,10,9de650c8-5442-4aa0-a40f-9df06831be8b,6,35e06cbf-751f-4bf0-a977-0190f4f9be32,504,663f3fce-b29c-4fb8-b5ce-5cc890d10ae6,2023-06-26,2023-06-26
7,16.1,7,2dbea918-fb69-4731-886c-fed9005888d8,7,4ebd1736-42f7-4652-bc90-624141efe6d2,411,a80951ba-59b6-4966-b722-3e0bc0cf4eeb,2023-01-23,2023-01-23
8,27.67,4,7371e43f-c127-4210-87fa-a23bac08979a,8,a375d63b-1b6d-46d2-8aeb-9743de3a38d1,820,418da6b4-53fb-4f10-b2a6-35b563ebb481,2023-04-21,2023-04-21
9,19.73,4,630b2e02-bfa2-4adc-91fb-5020e7e6674d,9,b1233616-e33c-4bde-ac33-aaf523adfe14,721,f34567b3-628e-4785-aa64-caef42930cd3,2023-11-22,2023-11-22
10,12.51,10,c1b7687c-a719-47a4-b536-04cfb53dd560,10,aaa86286-8c75-40fd-b8ff-73af62bc67a2,553,21df62df-d25b-422c-8f46-f30bad697c2d,2023-04-24,2023-04-24
11,25.83,2,4b639863-74b3-4213-b909-0e4c657d013c,11,6bde6935-5b39-46ba-8198-9981e0d3c02a,299,202d56ef-801e-43f3-aa04-945a6f5427f1,2023-07-01,2023-07-01
12,10.24,10,ec7da185-ef0d-4a09-9c4d-deaafe3ca8bd,12,02703615-1abd-446a-a32a-23cd9569ecdb,914,f2292652-08da-4de7-a68e-96a0c7c214a5,2023-08-18,2023-08-18
13,23.87,5,ee628de8-cf5f-4a12-9b22-a6a4e7842be9,13,f7a3db98-5d64-4e78-b080-db886facc721,568,aca457a8-b196-4a24-ba4e-fea70ae6ccef,2023-01-15,2023-01-15
14,21.54,3,55c0690e-7dc9-4b23-8595-f08955803b29,14,e1f4b73d-b0c5-4471-97c5-7bbbb6e78c76,229,26c49aab-5d09-4f9f-b678-fb78b6e5562f,2023-09-18,2023-09-18
15,15.08,4,0a3e4910-8489-4d2d-9fce-5668efdc9055,15,74cd972e-42b6-4473-9767-f68dabf8695a,219,275f8068-a76a-4d73-a371-5ce6677a56fe,2023-04-08,2023-04-08
16,10.21,2,b636ab90-1454-4dbd-9208-78e73224018e,16,4bb96cb0-7647-47ff-847a-1fdb6980b8b3,728,c95181f2-c432-486e-80d3-569f18e0fa28,2023-01-23,2023-01-23
17,20.54,9,0f4a0084-1b84-4c1d-8336-fa3b17526979,17,95a99a75-3b54-4c69-aea9-66eeb5af8436,786,254ccb51-cb8b-4858-b42a-66d8d9fcb99a,2023-04-17,2023-04-17
18,14.6,4,6612d3e7-2e0d-41ce-8166-7220dadbc7d6,18,502b5825-e8df-4ddb-ab8f-3f24b8ab3452,518,d4a5daaf-2a53-4eb0-8aa9-94e225c19986,2023-08-15,2023-08-15
19,20.63,7,59d10ca1-aa25-4340-a66c-8b71a439bdad,19,fa6e97ff-7121-4ea3-8bc3-63fe90d35932,166,6ae36d48-7024-4fbb-a5ee-8f240c0a1f86,2023-04-01,2023-04-01
